secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
108105,20200908,20200918,20200903,C,100000,3232.3,3238,0,133485146,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200908,C,1000000,2333,2338.3,2000,130915017,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200709,C,1100000,2232.9,2237.7,0,130915018,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200402,C,1200000,2133.1,2138.2,0,129372797,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,1225000,2108.1,2112.8,0,133142190,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200406,C,1250000,2083,2087.7,0,129372798,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200402,C,1275000,2058,2062.7,0,133142191,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200406,C,1300000,2033,2037.7,0,129372799,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,1325000,2008,2012.7,0,133142192,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200824,C,1350000,1983.1,1987.7,0,129372800,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200402,C,1375000,1958.2,1963.2,0,132891702,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200403,C,1400000,1933.1,1937.7,0,129372801,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200618,C,1425000,1908.1,1912.7,0,132891703,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200717,C,1450000,1883.1,1887.6,0,129372802,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200820,C,1475000,1858.1,1862.6,0,129372803,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200904,C,1500000,1833.2,1837.6,0,129372804,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200406,C,1525000,1808.3,1813.1,0,129372805,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200406,C,1550000,1783.3,1788.1,0,129372806,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200403,C,1575000,1758.3,1762.8,0,129372807,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200324,C,1600000,1733.2,1737.6,0,129372808,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200406,C,1625000,1708.2,1712.6,0,129372809,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200401,C,1650000,1683.3,1687.6,0,129372810,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200331,C,1675000,1658.4,1663.1,0,129372811,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200828,C,1700000,1633.4,1637.8,0,129372812,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200611,C,1725000,1608.3,1612.6,0,129372813,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200629,C,1750000,1583.3,1587.6,0,129372814,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200701,C,1775000,1558.3,1562.6,0,129372815,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200902,C,1800000,1533.5,1538.1,0,129372816,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200420,C,1825000,1508.5,1513.1,0,129372817,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200603,C,1850000,1483.5,1487.7,0,129372818,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200612,C,1875000,1458.4,1462.6,0,129372819,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200630,C,1900000,1433.4,1437.6,0,129372820,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200603,C,1925000,1408.5,1412.6,0,129372821,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200605,C,1950000,1383.6,1388.1,0,129372822,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200601,C,1975000,1358.6,1363.1,0,129372823,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200618,C,200000,3132.4,3138,0,133485147,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200908,C,2000000,1333.6,1338,2000,129372824,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,2010000,1323.6,1328.1,0,134227878,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,2020000,1313.7,1317.7,0,134227879,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200624,C,2025000,1308.7,1312.7,0,129372825,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,2030000,1303.5,1307.6,0,134227880,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,2040000,1293.6,1297.6,0,134227881,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,2050000,1283.6,1287.6,0,129372826,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,2060000,1273.7,1278.1,0,134227882,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,,C,2070000,1263.7,1268.1,0,134227883,1,CBOE S&P 500 INDEX,E
108105,20200908,20200918,20200331,C,2075000,1258.7,1263.1,0,129372827,1,CBOE S&P 500 INDEX,E
